trade_date,cusip,ytm
9/5/22,912920AK1,5.5953
9/6/22,912920AK1,5.684
9/7/22,912920AK1,5.599
9/8/22,912920AK1,5.679
9/9/22,912920AK1,5.711
9/12/22,912920AK1,5.753
9/13/22,912920AK1,6.223
9/14/22,912920AK1,6.009
9/15/22,912920AK1,6.118
9/16/22,912920AK1,6.102
9/19/22,912920AK1,5.943
9/20/22,912920AK1,6.222
9/21/22,912920AK1,6.241
9/22/22,912920AK1,6.323
9/23/22,912920AK1,6.413
9/26/22,912920AK1,6.349
9/27/22,912920AK1,6.284
9/28/22,912920AK1,6.526
9/29/22,912920AK1,6.294
9/30/22,912920AK1,6.215
10/3/22,912920AK1,6.123
10/4/22,912920AK1,6.212
10/5/22,912920AK1,6.216
10/6/22,912920AK1,6.223
10/7/22,912920AK1,6.309
10/10/22,912920AK1,6.3204
10/11/22,912920AK1,6.4
10/12/22,912920AK1,6.744
10/13/22,912920AK1,6.86
10/14/22,912920AK1,6.871
10/17/22,912920AK1,6.851
10/18/22,912920AK1,6.85
10/19/22,912920AK1,6.829
10/21/22,912920AK1,6.839
10/24/22,912920AK1,6.821
10/25/22,912920AK1,6.827
10/26/22,912920AK1,7.286
10/27/22,912920AK1,6.709
10/28/22,912920AK1,6.446
10/31/22,912920AK1,6.76
11/1/22,912920AK1,6.724
11/2/22,912920AK1,6.778
11/3/22,912920AK1,7.348
11/4/22,912920AK1,7.291
11/7/22,912920AK1,7.452
11/8/22,912920AK1,7.436
11/9/22,912920AK1,7.609
11/10/22,912920AK1,7.528
11/11/22,912920AK1,7.5645
11/14/22,912920AK1,7.524
11/15/22,912920AK1,7.512
11/16/22,912920AK1,7.614
11/17/22,912920AK1,7.542
11/18/22,912920AK1,7.557
11/21/22,912920AK1,7.362
11/22/22,912920AK1,7.558
11/23/22,912920AK1,7.37
11/24/22,912920AK1,7.3222
11/25/22,912920AK1,7.366
11/28/22,912920AK1,7.365
11/29/22,912920AK1,7.427
11/30/22,912920AK1,7.276
12/1/22,912920AK1,7.177
12/2/22,912920AK1,7.207
12/5/22,912920AK1,7.336
12/6/22,912920AK1,7.313
12/7/22,912920AK1,7.205
12/8/22,912920AK1,7.264
12/9/22,912920AK1,7.308
12/12/22,912920AK1,7.545
12/13/22,912920AK1,7.481
12/14/22,912920AK1,7.454
12/15/22,912920AK1,7.447
12/16/22,912920AK1,7.518
12/19/22,912920AK1,7.513
12/20/22,912920AK1,7.248
12/21/22,912920AK1,7.2
12/22/22,912920AK1,7.242
12/23/22,912920AK1,6.743
12/27/22,912920AK1,6.369
12/28/22,912920AK1,6.381
12/29/22,912920AK1,6.367
12/30/22,912920AK1,6.427
1/2/23,912920AK1,6.3928
1/3/23,912920AK1,6.356
1/4/23,912920AK1,6.31
1/5/23,912920AK1,6.414
1/6/23,912920AK1,6.208
1/9/23,912920AK1,6.158
1/10/23,912920AK1,7.127
1/11/23,912920AK1,7.37
1/12/23,912920AK1,7.295
1/13/23,912920AK1,7.664
1/16/23,912920AK1,7.689
1/17/23,912920AK1,7.535
1/18/23,912920AK1,7.465
1/19/23,912920AK1,7.789
1/20/23,912920AK1,7.747
1/23/23,912920AK1,7.502
1/24/23,912920AK1,7.512
1/25/23,912920AK1,7.493
1/26/23,912920AK1,7.517
1/27/23,912920AK1,7.501
1/30/23,912920AK1,7.712
1/31/23,912920AK1,7.175
2/1/23,912920AK1,7.46
2/2/23,912920AK1,7.35
2/3/23,912920AK1,7.547
2/6/23,912920AK1,7.554
2/7/23,912920AK1,7.396
2/8/23,912920AK1,7.709
2/9/23,912920AK1,8.224
2/10/23,912920AK1,8.565
2/13/23,912920AK1,7.1926
2/14/23,912920AK1,7.5755
2/15/23,912920AK1,7.8455
2/16/23,912920AK1,7.864
2/17/23,912920AK1,7.8964
2/20/23,912920AK1,7.9354
2/21/23,912920AK1,7.798
2/22/23,912920AK1,7.7882
2/23/23,912920AK1,7.7842
2/24/23,912920AK1,7.8964
2/27/23,912920AK1,8.3586
2/28/23,912920AK1,8.1574
3/1/23,912920AK1,8.4746
3/2/23,912920AK1,8.5788
3/3/23,912920AK1,7.7682
3/6/23,912920AK1,8.1344
3/7/23,912920AK1,8.5433
